江河之上,#genre#
第01集,https://p6-webcast.douyinpic.com/obj/tos-cn-i-0000c0030/osD5zhgiEIlAqSB4ICxAzDfAOerEtANNPYArvF?filename=1.mp4
第02集,https://p6-bk.byteimg.com/obj/tos-cn-i-0000c0030/osf8AjfD2dIg4A7LAsAQzbI8fbHiNsDEBnOEAR?filename=1.mp4
第03集,https://p9-dy-ipv6.byteimg.com/obj/tos-cn-i-0000c0030/ocAAABClNhRAA5sIwgxNCfueDzKLgNEPGu41Wg?filename=1.mp4
第04集,https://p6-bk.byteimg.com/obj/tos-cn-i-0000c0030/o0ABANAjzZLQ2EfAfHP36IcVE4czHD5AAO9DeD?filename=1.mp4
第05集,https://p3-ppx.byteimg.com/obj/tos-cn-i-0000c0030/oE2AAilIxz7nOClugmNKbbDQeBA5DA8OahetAE?filename=1.mp4
第06集,https://p9-webcast-ttcdn.byteimg.com/obj/tos-cn-i-0000c0030/oEGx1ggIhzzAeNbfNLCZDluxGAGA5BAAEqOxNA?filename=1.mp4
第07集,https://p3-dy.byteimg.com/obj/tos-cn-i-0000c0030/o4Af7BCaET5CDyAWzNHNxIN8lSAudzwaeAhgAA?filename=1.mp4
第08集,https://p29-tt.byteimg.com/obj/tos-cn-i-0000c0030/oISiIrC5ABrbODnkAAge28WhEbuflqDC7AlUxA?filename=1.mp4
第09集,https://p1-ds.byteimg.com/obj/tos-cn-i-0000c0030/oszMEbfBADDY5q1zAAzAIu8B55lg9CDBAfhWNy?filename=1.mp4
第10集,https://p1.douyinpic.com/obj/tos-cn-i-0000c0030/o8mHAzvETAffA7GNBgKzDNl49D5h8A29hIRCAz?filename=1.mp4
第11集,https://p1-ad.byteimg.com/obj/tos-cn-i-0000c0030/oczDrNF4cAzzzRAIAdIhAeEGWBefEWGNL8sQAD?filename=1.mp4
第12集,https://p1-dy-ipv6.byteimg.com/obj/tos-cn-i-0000c0030/oIAAw8ufb8fvntNAzbxEL6DvAED9BHAQmLfSIW?filename=1.mp4
第13集,
第14集,

江河之上(备用央视版),#genre#
第01集,https://hls.cntv.lxdns.com/asp/hls/2000/0303000a/3/default/9eba18df6e0d4037bee618a7f884332d/2000.m3u8?maxbr=2048
第02集,https://hls.cntv.kcdnvip.com/asp/hls/2000/0303000a/3/default/ebdf90d70cbd498fbe06f81873db68f2/2000.m3u8?maxbr=2048
第03集,https://hls.cntv.kcdnvip.com/asp/hls/2000/0303000a/3/default/af7ef8c56d5a4f4691692bf031dca9cf/2000.m3u8?maxbr=2048
第04集,https://hls.cntv.kcdnvip.com/asp/hls/2000/0303000a/3/default/14a1c33b7f4540c998e106e8d0b68bce/2000.m3u8?maxbr=2048
第05集,https://hls.cntv.myhwcdn.cn/asp/hls/2000/0303000a/3/default/07e023305bae48289f6d637d0a757a23/2000.m3u8?maxbr=2048
第06集,https://hls.cntv.kcdnvip.com/asp/hls/2000/0303000a/3/default/3b80a1cf45324f5a9b5cf0cf0d303889/2000.m3u8?maxbr=2048
第07集,https://hls.cntv.myhwcdn.cn/asp/hls/2000/0303000a/3/default/dccf227f08ed457ca61d7772f2ecd7f8/2000.m3u8?maxbr=2048
第08集,https://newcntv.qcloudcdn.com/asp/hls/2000/0303000a/3/default/39067fa09ad44eb09625bfad4f6859bf/2000.m3u8?maxbr=2048
第09集,
第10集,
第11集,
第12集,
第13集,
第14集,

漫长的季节,#genre#
第01集,https://cache50.zsyzcy.cn:49156/baidu/cache/646f79678db29e67c52820cd18115f77.m3u8
第02集,https://cache50.zsyzcy.cn:49156/baidu/cache/e821bb36208e90ee865c068167db8406.m3u8
第03集,https://cache50.zsyzcy.cn:49156/baidu/cache/631280adf6b31e40671f2fc72a9eba3e.m3u8
第04集,https://cache50.zsyzcy.cn:49156/baidu/cache/c0762f8fd9a651970f26c131154ed174.m3u8
第05集,https://cache50.zsyzcy.cn:49156/baidu/cache/f1240289311ba4971bedef5fe007ab13.m3u8
第06集,https://cache50.zsyzcy.cn:49156/baidu/cache/bef6a10034ed25702c4650f6ef72725d.m3u8
第07集,https://cache50.zsyzcy.cn:49156/baidu/cache/11f1bbe90e2248ba062ce69793d0c93c.m3u8
第08集,https://cache50.zsyzcy.cn:49156/baidu/cache/5473e015a5db109cbb802daed6028b00.m3u8
第09集,https://cache50.zsyzcy.cn:49156/baidu/cache/50a394fc3bdd2abcbfe04e799f2c438a.m3u8
第10集,https://cache50.zsyzcy.cn:49156/baidu/cache/4b5e66adc211d8e499cb9fe31c78b96b.m3u8
第11集,https://cache50.zsyzcy.cn:49156/baidu/cache/00df354cdbf53980659f8627d0423cac.m3u8
第12集,https://cache50.zsyzcy.cn:49156/baidu/cache/86515eaa7d9619f9443451056fbf1d40.m3u8

漫长的季节,#genre#
第01集,https://xinl.xlzys.com/play/YaOqQQNd/index.m3u8
第02集,https://xinl.xlzys.com/play/RdGgGG0d/index.m3u8
第03集,https://xinl.xlzys.com/play/PdyMRRWd/index.m3u8
第04集,https://xinl.xlzys.com/play/pen8M4Yb/index.m3u8
第05集,https://xinl.xlzys.com/play/YerXyqLb/index.m3u8
第06集,https://xinl.xlzys.com/play/mep7ryXd/index.m3u8
第07集,https://xinl.xlzys.com/play/lej5QD5d/index.m3u8
第08集,https://xinl.xlzys.com/play/Rb4VRWge/index.m3u8
第09集,https://xinl.xlzys.com/play/1aKzL3Ge/index.m3u8
第10集,https://xinl.xlzys.com/play/pen7N3Ya/index.m3u8
第11集,https://xinl.xlzys.com/play/1aKzEVne/index.m3u8
第12集,https://xinl.xlzys.com/play/qaQjqjGb/index.m3u8

沉默的真相,#genre#
第01集,https://jxjson.sc1080.top/video.php?f=58220ac9ff197ce3a9d1c683d406097e.m3u8
第02集,https://jxjson.sc1080.top/video.php?f=bf64df0eb4f164f6ef16afe48fa3591d.m3u8
第03集,https://jxjson.sc1080.top/video.php?f=758fe6ce3e6e9728f4bc916e48345a38.m3u8
第04集,https://jxjson.sc1080.top/video.php?f=15b570e5623742ea350a41e2768cb8e9.m3u8
第05集,https://jxjson.sc1080.top/video.php?f=d77c8121871f9f92418ad6dab25d8cf9.m3u8
第06集,https://jxjson.sc1080.top/video.php?f=4938fa3f05b66767b497afc172cd9062.m3u8
第07集,https://jxjson.sc1080.top/video.php?f=b0081b2098f78da73bc1ce6155c92e98.m3u8
第08集,https://jxjson.sc1080.top/video.php?f=6e4a0efff58fb92fa94378c69a1a8487.m3u8
第09集,https://jxjson.sc1080.top/video.php?f=6d4aaa0e83f1665d47b53d1c5fff3d8d.m3u8
第10集,https://jxjson.sc1080.top/video.php?f=22896275430f1093072cb80297b0a8ec.m3u8
第11集,https://jxjson.sc1080.top/video.php?f=508d041dabd0c64ed61fa0142346aaa5.m3u8
第12集,https://jxjson.sc1080.top/video.php?f=bcf69736702bf54bc3aa60c28ce49777.m3u8

沉默的真相(备用1),#genre#
第01集,https://jx.pay966.com/d/hcy/0011WJWnP0J406320231010112621q5o/%E6%B2%89%E9%BB%98%E7%9A%84%E7%9C%9F%E7%9B%B8001.mp4
第02集,https://jx.pay966.com/d/hcy/0011WJWnP0J406020231010112624sez/%E6%B2%89%E9%BB%98%E7%9A%84%E7%9C%9F%E7%9B%B8002.mp4
第03集,https://jx.pay966.com/d/hcy/0011WJWnP0J406220231010112627kfx/%E6%B2%89%E9%BB%98%E7%9A%84%E7%9C%9F%E7%9B%B8003.mp4
第04集,https://jx.pay966.com/d/hcy/0011WJWnP0J407920231010112629j3s/%E6%B2%89%E9%BB%98%E7%9A%84%E7%9C%9F%E7%9B%B8004.mp4
第05集,https://jx.pay966.com/d/hcy/0011WJWnP0J406020231010112632shi/%E6%B2%89%E9%BB%98%E7%9A%84%E7%9C%9F%E7%9B%B8005.mp4
第06集,https://1080p.huyall.com/play/PdR6vGwd/index.m3u8
第07集,https://jx.pay966.com/d/hcy/0011WJWnP0J406120231010112637nxs/%E6%B2%89%E9%BB%98%E7%9A%84%E7%9C%9F%E7%9B%B8007.mp4
第08集,https://jx.pay966.com/d/hcy/0011WJWnP0J406420231010112640p7g/%E6%B2%89%E9%BB%98%E7%9A%84%E7%9C%9F%E7%9B%B8008.mp4
第09集,https://jx.pay966.com/d/hcy/0011WJWnP0J408020231010112643w31/%E6%B2%89%E9%BB%98%E7%9A%84%E7%9C%9F%E7%9B%B8009.mp4
