央视, #genre#
CCTV-1,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/cctv1/221308/20231124/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=2201057821&pid=2028597139&timestamp=20231223175834&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=60880742020231223032&ParentNodeID=-99&assertID=2201057821&client_ip=117.136.45.126&SecurityKey=20231223175834&promotionId=f966fdf1-4293-4ecf-8aee-74fa259ced67&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h265&bean=mgspad&mtv_session=d1a2f21b468659033b4f4bd49d450020&jid=82a288b9d5d22d70610adc303e0305781703325515162Q&sjid=subsession_1703325515389&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=fd7eaae343346038dd8d8343f8b1cb4c
CCTV-2,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv2/221308/20231124/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5500346945&pid=2028597139&timestamp=20231223175809&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=63178053220231223030&ParentNodeID=-99&assertID=5500346945&client_ip=117.136.45.126&SecurityKey=20231223175809&promotionId=f966fdf1-4293-4ecf-8aee-74fa259ced67&mvid=5101064231&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h265&bean=mgspad&mtv_session=f15b2968200a91c1ebf3d0b5868493a7&jid=82a288b9d5d22d70610adc303e0305781703325489831Q&sjid=subsession_1703325490583&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=b75458cb310a18ebe4cc460eacd826b8
CCTV-3,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv3/221308/20231124/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5500212864&pid=2028597139&timestamp=20231223174827&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=62487827120231223017&ParentNodeID=-99&assertID=5500212864&client_ip=117.136.45.126&SecurityKey=20231223174827&promotionId=f966fdf1-4293-4ecf-8aee-74fa259ced67&mvid=5100001683&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h265&bean=mgspad&mtv_session=a731116242fb66744c645bf448e71dcb&jid=82a288b9d5d22d70610adc303e0305781703324907978Q&sjid=subsession_1703324908536&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=5321be47d1065abee6c1dc642be61518
CCTV-4,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv4/221308/20231124/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5500346947&pid=2028597139&timestamp=20231223175720&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=63178042120231223027&ParentNodeID=-99&assertID=5500346947&client_ip=117.136.45.126&SecurityKey=20231223175720&promotionId=f966fdf1-4293-4ecf-8aee-74fa259ced67&mvid=5101064235&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h265&bean=mgspad&mtv_session=dbeeea473a664acdaeaf6f368f23ea65&jid=82a288b9d5d22d70610adc303e0305781703325441183Q&sjid=subsession_1703325442024&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=578ef30719b59cb17ee502cbfd5d68df
CCTV-5,http://hlsmgsplive.miguvideo.com:8080/migu/kailu/cctv5/221308/20231124/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5500516171&pid=2028597139&timestamp=20231223175649&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=64188668320231223017&ParentNodeID=-99&assertID=5500516171&client_ip=117.136.45.126&SecurityKey=20231223175649&promotionId=f966fdf1-4293-4ecf-8aee-74fa259ced67&mvid=5102048712&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h265&bean=mgspad&mtv_session=49c6ee963774e1e20beeaa309058a0c1&jid=82a288b9d5d22d70610adc303e0305781703325410156Q&sjid=subsession_1703325410573&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=ebc9d0ebd499ea7ed013b2b6de3557d2
CCTV-5+,http://hlsmgsplive.miguvideo.com:8080/migu/kailu/cctv5p/221308/20231124/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5500516288&pid=2028597139&timestamp=20231223175619&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=64188677320231223015&ParentNodeID=-99&assertID=5500516288&client_ip=117.136.45.126&SecurityKey=20231223175619&promotionId=f966fdf1-4293-4ecf-8aee-74fa259ced67&mvid=5102048803&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h265&bean=mgspad&mtv_session=eff3aa7b59de2fc86e74ddc1c840d929&jid=82a288b9d5d22d70610adc303e0305781703325380239Q&sjid=subsession_1703325380424&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=350e5aacae98e4528fee7369d4e29a80
CCTV-6,http://hlsmgsplive.miguvideo.com:8080/migu/kailu/cctv6/221308/20231124/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5500212872&pid=2028597139&timestamp=20231223175552&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=62487839620231223015&ParentNodeID=-99&assertID=5500212872&client_ip=117.136.45.126&SecurityKey=20231223175552&promotionId=f966fdf1-4293-4ecf-8aee-74fa259ced67&mvid=5100001694&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h265&bean=mgspad&mtv_session=17681c93fabd1dd6800c10ec9a552274&jid=82a288b9d5d22d70610adc303e0305781703325352632Q&sjid=subsession_1703325352945&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=3ad0194d6ee22fe3dc3917c0a353abb8
CCTV-7,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv7/221308/20231124/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5501083622&pid=2028597139&timestamp=20231223175520&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=67316812120231223024&ParentNodeID=-99&assertID=5501083622&client_ip=117.136.45.126&SecurityKey=20231223175520&promotionId=f966fdf1-4293-4ecf-8aee-74fa259ced67&mvid=5102910278&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h265&bean=mgspad&mtv_session=d1b283a37990de3c574fe932bd1c7c49&jid=82a288b9d5d22d70610adc303e0305781703325321435Q&sjid=subsession_1703325321629&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=c0294fd6ac514ce73315c79fb3dc6078
CCTV-8,http://hlsmgsplive.miguvideo.com:8080/migu/kailu/cctv8/221308/20231124/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5500212868&pid=2028597139&timestamp=20231223175453&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=62487835620231223033&ParentNodeID=-99&assertID=5500212868&client_ip=117.136.45.126&SecurityKey=20231223175453&promotionId=f966fdf1-4293-4ecf-8aee-74fa259ced67&mvid=5100001695&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h265&bean=mgspad&mtv_session=932cfabfb96ae18ad710c71e7c9b2504&jid=82a288b9d5d22d70610adc303e0305781703325293961Q&sjid=subsession_1703325294446&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=3b110631bb42a6d2847b45081db638fe
CCTV-9,http://hlsmgsplive.miguvideo.com:8080/migu/kailu/cctv9/221308/20231124/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5501083624&pid=2028597139&timestamp=20231223175412&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=67316814020231223021&ParentNodeID=-99&assertID=5501083624&client_ip=117.136.45.126&SecurityKey=20231223175412&promotionId=f966fdf1-4293-4ecf-8aee-74fa259ced67&mvid=5102910384&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h265&bean=mgspad&mtv_session=6ff8c378dea6d762974e81259bad3db1&jid=82a288b9d5d22d70610adc303e0305781703325252708Q&sjid=subsession_1703325253633&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=4e40c87743f1b931bdcabb8af53cb5d4
CCTV-10,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv10/221308/20231124/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5500212874&pid=2028597139&timestamp=20231223175256&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=62487840520231223030&ParentNodeID=-99&assertID=5500212874&client_ip=117.136.45.126&SecurityKey=20231223175256&promotionId=f966fdf1-4293-4ecf-8aee-74fa259ced67&mvid=5100001696&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h265&bean=mgspad&mtv_session=b8bdd7bffb33e8c7bab991d31e79bace&jid=82a288b9d5d22d70610adc303e0305781703325177342Q&sjid=subsession_1703325177981&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=afa1a60893c16db2e3302bf4d7b5551f
CCTV-11,http://hlsmgsplive.miguvideo.com:8080/migu/kailu/cctv11hd265/55/20200407/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5500988610&pid=2028597139&timestamp=20231223175133&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=117.136.45.126&SecurityKey=20231223175133&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h265&bean=mgspad&mtv_session=ed7c66f08adeff1a8941c78c55c8b22d&jid=82a288b9d5d22d70610adc303e0305781703325093880V&is_advertise=0&sjid=subsession_1703325094092&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=e580233a8fdc779b9603faca79a539f4
CCTV-12,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv12hd/57/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5501083627&pid=2028597139&timestamp=20231223175111&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=117.136.45.126&SecurityKey=20231223175111&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h264&bean=mgspad&mtv_session=91a7259a21585de7cf2eaf750a72ba1f&jid=82a288b9d5d22d70610adc303e0305781703325071942V&is_advertise=0&sjid=subsession_1703325072114&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=b738c5f42f93271687243507eb79f274
CCTV-13,http://hlsmgsplive.miguvideo.com:8080/migu/kailu/cctv13/221308/20231124/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=2202208864&pid=2028597139&timestamp=20231223175051&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=60880742320231223024&ParentNodeID=-99&assertID=2202208864&client_ip=117.136.45.126&SecurityKey=20231223175051&promotionId=f966fdf1-4293-4ecf-8aee-74fa259ced67&mvid=2202208864&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h265&bean=mgspad&mtv_session=891f39d3a6e88c92a3349c2a09857486&jid=82a288b9d5d22d70610adc303e0305781703325051771Q&sjid=subsession_1703325052461&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=295aa8fd9a209808ca87ee8327b01093
CCTV-14,http://hlsmgsplive.miguvideo.com:8080/migu/kailu/cctv14hd265/55/20200407/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5500212875&pid=2028597139&timestamp=20231223175008&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=117.136.45.126&SecurityKey=20231223175008&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h265&bean=mgspad&mtv_session=7ef9319f22d5bc962a75fd46ed4cbe39&jid=82a288b9d5d22d70610adc303e0305781703325008910V&is_advertise=0&sjid=subsession_1703325009756&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=7f65ac92684c425831364ed37976331c
CCTV-15,http://hlsmgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv15hd/57/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5501083628&pid=2028597139&timestamp=20231223174929&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=117.136.45.126&SecurityKey=20231223174929&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h264&bean=mgspad&mtv_session=6f01bed78577b56fe72694f7635251df&jid=82a288b9d5d22d70610adc303e0305781703324969975V&is_advertise=0&sjid=subsession_1703324970762&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=674d880818d175cacfd8a64e6704f16b
CCTV-17,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv17hd/57/01.m3u8?msisdn=0bf35b6cabf11c70470d61e6cdfae492&mdspid=&spid=699004&netType=5&sid=5501083631&pid=2028597139&timestamp=20231223174903&Channel_ID=0116_2600010900-99000-201600010010029&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=117.136.45.126&SecurityKey=20231223174903&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=ZQ-A1-6.12.1.1-RELEASE&userid=157960049&jmhm=0bf35b6cabf11c70470d61e6cdfae492&videocodec=h264&bean=mgspad&mtv_session=98b89683749b011f8f354cac333a52ab&jid=82a288b9d5d22d70610adc303e0305781703324943688V&is_advertise=0&sjid=subsession_1703324944030&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=b1e90f493c4e0c0f79cc73de1d4bba66

CCTV-电视指南,
CCTV-第一剧场,
CCTV-怀旧剧场,
CCTV-兵器科技,
CCTV-世界地理,
CCTV-风云剧场,
CCTV-风云音乐,
CCTV-风云足球,
CCTV-央视台球,
CCTV-高尔夫网球,
CCTV-央视文化精品,
CCTV-卫生健康,
CCTV-中学生,
CCTV-老故事,
CCTV-发现之旅,

CHC动作电影,
CHC高清电影,
CHC家庭影院,

CETV-1,
CETV-2,
CETV-3,
CETV-4,

CGTN-英语,
CGTN-纪录,
CGTN-俄语,
CGTN-法语,
CGTN-西语,
CGTN-阿语,

CCTV-4欧洲,
CCTV-4美洲,



























卫视, #genre#
黑龙江卫视,
浙江卫视,
湖南卫视,
东方卫视,
江苏卫视,
北京卫视,
重庆卫视,
东南卫视,
深圳卫视,
天津卫视,
辽宁卫视,
安徽卫视,
甘肃卫视,
广东卫视,
广西卫视,
贵州卫视,
海南卫视,
河北卫视,
河南卫视,
湖北卫视,
吉林卫视,
江西卫视,
山东卫视,
四川卫视,
云南卫视,
山西卫视,
宁夏卫视,
陕西卫视,
新疆卫视,
西藏卫视,
内蒙古卫视,
